50863	33211	1
43621	40832	1
33293	47880	1
13213	53186	1
33293	14909	1
33293	35937	1
12403	26565	1
43621	57454	1
43621	63599	1
43621	14120	1
43621	20754	1
50863	54366	1
33293	878	1
33293	27935	1
43621	44316	1
33293	13682	1
50863	46605	1
33293	56727	1
25026	32506	1
13213	58532	1
59444	7093	1
43621	61711	1
50436	5427	1
12403	8488	1
54370	30750	1
43621	56106	1
44112	61711	1
43621	37392	1
43621	54098	1
48777	7093	1
654	19319	1
40873	18765	1
12403	32606	1
12403	45746	1
7877	32606	1
43621	27509	1
33293	58532	1
43621	56210	1
59444	14120	1
50436	42577	1
43621	34763	1
43621	13000	1
43621	19172	1
50863	65017	1
43621	3195	1
43621	44108	1
44112	61356	1
43621	32921	1
43621	25804	1
59444	926	1
12403	7506	1
43621	9949	1
48777	35905	1
13213	5344	1
12403	12541	1
43621	65885	1
43621	33701	1
654	46268	1
43621	3965	1
7877	33211	1
43621	57617	1
43621	59577	1
43621	10565	1
44112	431	1
50863	36028	1
13213	57903	1
11153	7093	1
654	12824	1
9724	13682	1
59444	20724	1
43621	8218	1
33293	39272	1
20066	58532	1
13213	5508	1
7877	926	1
33293	54932	1
43621	4739	1
654	31268	1
43621	30212	1
43621	62257	1
12403	42514	1
43621	55588	1
44991	29241	1
12403	60226	1
33293	23832	1
43621	6993	1
43621	926	1
25026	32606	1
43621	3157	1
33293	57280	1
33293	32044	1
33293	53155	1
43621	39335	1
50863	31268	1
44112	40800	1
43621	30654	1
43621	4707	1
43621	19458	1
43621	55203	1
43621	8766	1
33293	53656	1
20066	61711	1
33293	59489	1
33293	49992	1
33293	35590	1
12403	15620	1
43621	7114	1
33293	14286	1
43621	7516	1
43621	5396	1
20066	8488	1
12403	35590	1
11153	37477	1
12403	29422	1
43621	15014	1
40873	39226	1
33293	57582	1
44112	49054	1
44112	60583	1
43621	148	1
33293	46117	1
20066	45697	1
50436	59776	1
33293	8480	1
50863	14120	1
7877	1743	1
43621	32631	1
12403	20754	1
43621	4683	1
13213	7093	1
54370	29163	1
10506	14120	1
3127	29241	1
43621	35142	1
43621	45273	1
12403	52077	1
10506	6651	1
64642	19319	1
33293	1773	1
43621	50234	1
43621	26995	1
43621	4986	1
654	14120	1
43621	19319	1
54370	14120	1
7877	13682	1
11153	30970	1
43621	19630	1
13213	51508	1
200	41953	1
43621	51508	1
43621	21490	1
33293	16122	1
43621	23544	1
12403	1773	1
12403	23314	1
43621	51493	1
48777	6056	1
33293	18341	1
43621	19514	1
43621	13682	1
43621	35937	1
43621	10691	1
50863	61711	1
50436	45697	1
33293	61711	1
43372	22850	1
43621	62073	1
654	12374	1
12403	18341	1
43621	35905	1
33293	7093	1
33293	431	1
43621	45317	1
43621	25376	1
43621	19860	1
50863	35986	1
654	29598	1
43621	16707	1
33293	4251	1
50863	32087	1
43621	12808	1
33293	32635	1
43621	23039	1
12403	46062	1
50436	59489	1
7877	7093	1
43621	32170	1
43621	6454	1
13213	14120	1
59444	54894	1
43621	50024	1
12403	46268	1
43621	40800	1
